"?필수?교양?교과목(광운인되기,영어)?강의시간표",,,,,,,,,
2024학년도 2학기,,,,,,,,,
I040-1-4432-01,인공지능과컴퓨팅사고,정융(C7~C9),,교필,3,3,,"금1,2",
I040-1-4432-02,인공지능과컴퓨팅사고,,,교필,3,3,,"금3,4",
1000-1-8610-01,프로그래밍기초,건축(A1),,교필,3,3,정태원,"화5,목6",
1000-1-8610-02,프로그래밍기초,건공(A2),,교필,3,3,이슬기,"금1,2",
1000-1-8610-03,프로그래밍기초,화공(K1),,교필,3,3,윤대열,"금3,4",
1000-1-8610-04,프로그래밍기초,화공(K2),,교필,3,3,김지명,"금3,4",
1000-1-8610-05,프로그래밍기초,환경(K3),,교필,3,3,염귀덕,"금5,6",
2024학년도 2학기,,,,,,,,,
학정번호,과목명,분반,연계,이수,학점,시수,담당교수,"강의시간 (요일,교시)",강의유형
6000-1-8610-01,프로그래밍기초,수학(N1),,교필,3,3,문만기,"월3,수4",
6000-1-8610-02,프로그래밍기초,전물(N2),,교필,3,3,정진범,"월2,수1",
6000-1-8610-03,프로그래밍기초,"수학,전물,화학
(N1,N3,N5)",,교필,3,3,정진범,"월1,수2",
6000-1-8610-04,프로그래밍기초,화학(N4),,교필,3,3,김수영,"월4,수3",
6000-1-8610-05,프로그래밍기초,스포츠(P1),,교필,3,3,김태현,"월5,수6",
3000-1-8610-01,프로그래밍기초,국문(R1),,교필,3,3,스레스터바누,"화1,목2",
3000-1-8610-02,프로그래밍기초,영산(R2),,교필,3,3,스레스터바누,"화2,목1",
3000-1-8610-03,프로그래밍기초,산심(R3),,교필,3,3,이롤랜드,"화3,목4",영어100?
3000-1-8610-04,프로그래밍기초,미디어(M1),,교필,3,3,이롤랜드,"화4,목3",영어100?
3000-1-8610-05,프로그래밍기초,미디어(M2),,교필,3,3,이롤랜드,"화5,목6",영어100?
3000-1-8610-06,프로그래밍기초,동문산(R4),,교필,3,3,정태원,"화6,목5",
3000-1-8610-07,프로그래밍기초,동문산(R5),,교필,3,3,김덕은,"금1,2",
F000-1-8610-01,프로그래밍기초,행정(S1),,교필,3,3,박세영,"금5,6",
F000-1-8610-02,프로그래밍기초,"행정,국제
(S2,S3)",,교필,3,3,장경석,"금5,6",
F000-1-8610-03,프로그래밍기초,법(L1~L3),,교필,3,3,박세영,"화3,목4",
F000-1-8610-04,프로그래밍기초,,,교필,3,3,박세영,"화4,목3",
F000-1-8610-05,프로그래밍기초,,,교필,3,3,박세영,"화5,목6",
5000-1-8610-01,프로그래밍기초,경영(B1),,교필,3,3,정진범,"월4,수3",
5000-1-8610-02,프로그래밍기초,경영(B2),,교필,3,3,조수영,"월5,수6",
5000-1-8610-03,프로그래밍기초,경영(B3),,교필,3,3,최상근,"월6,수5",
5000-1-8610-04,프로그래밍기초,"경영,국통
(B4,B6)",,교필,3,3,정진범,"월3,수4",
5000-1-8610-05,프로그래밍기초,국통(B5),,교필,3,3,김상곤,"화2,목1",
"* 2023학년도부터 '컴퓨팅사고'가 '인공지능컴퓨팅사고'로 교과목명이 변경됨.(기존 이수자는 동일과목 처리)
* 소속학과(부) 해당 분반에 맞는 수업을 수강하여야함.
* 2017학년도 입학자부터 교양필수로 적용되며, 그 이전 입학자는 필수이수과목에 해당하지 않음.
* 2~4학년이 (재)수강하려는 경우 소속단과대학 수업을 수강신청하여야 함.",,,,,,,,,
?교양?교과목?강의시간표?-?과학과?기술?영역,,,,,,,,,
2024학년도 2학기,,,,,,,,,
학정번호,과목명,분반,연계,이수,학점,시수,담당교수,"강의시간 (요일,교시)",강의유형
0000-1-4929-01,경영과컴퓨터,경영(B1~B4),,교선,3,3,서상구,"월3,수4",
0000-1-3403-01,고급프로그래밍,로봇 2학년 택 1,,교선,3,3,정문호,"월6,수5",
0000-2-3679-01,자바프로그래밍,,,교선,3,3,문석재,"월6,수5",
0000-1-2339-01,고급C프로그래밍,정융(C7~C9),,교선,3,3,김수환,"화3,목4",
0000-1-2339-02,고급C프로그래밍,,,교선,3,3,김수환,"화5,목6",
0000-1-5909-01,공학과디자인,,,교선,3,3,유미란,"화5,목6",
0000-1-5909-02,공학과디자인,,,교선,3,3,엄은영,"화3,목4",
0000-1-4283-01,공학교양세미나,1학년만 수강가능,,교선,3,3,김충혁,"월1,2","소규모강의,세미나강의"
0000-1-4283-02,공학교양세미나,1학년만 수강가능,,교선,3,3,권순철,"화5,목6","소규모강의,세미나강의"
0000-1-4102-01,블록체인의이해,,,교선,3,3,김길래,"금5,6",
0000-1-4102-02,블록체인의이해,,,교선,3,3,,"금3,4",
0000-1-9340-01,빅데이터의이해,,,교선,3,3,정태원,"화1,목2",
0000-1-9340-02,빅데이터의이해,,,교선,3,3,정태원,"화2,목1",
