Unnamed: 0,학정번호,과목명,분반,수강가능한 학과,다전공생 수강불가,학년,연계,이수,학점,시수,담당교수,강의시간,강의유형,외국인재학생,국내재학생,선수과목,전공 인정 학과 ,참빛인재대학,체육특기자,기타
62,5000-1-3095-02,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,이소정,"(1:2),(3:1)",Null,,,,,,,
63,5000-1-3095-03,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,송치혁,"(2:3),(4:4)",Null,,,,,,,
64,5000-1-3095-04,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,박상현,"(2:5),(4:6)",Null,,,,,,,
65,5000-1-3095-05,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,이주영,"(2:6),(4:5)",Null,,,,,,,
66,5000-1-3095-06,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,신정은,"(5:3),(5:4)",Null,,,,,,,
67,5000-1-3095-07,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,최동일,"(5:5),(5:6)",Null,,,,,,,
68,0000-1-3095-01,융합적사고와글쓰기,외국인만 수강가능,,,,Null,교선,3,3,최수현,"(4:5),(4:6)",외국인전용,True,False,,,,,
69,7060-1-0019-01,C프로그래밍,전자(E1),E1,,,Null,교필,3,3,김상곤,"(2:1),(4:2)",Null,,,,,,,
70,7060-1-0019-02,C프로그래밍,전자(E2),E2,,,Null,교필,3,3,고철영,"(2:2),(4:1)",Null,,,,,,,
71,7060-1-0019-03,C프로그래밍,전자(E3),E3,,,Null,교필,3,3,고철영,"(2:3),(4:4)",Null,,,,,,,
72,7060-1-0019-04,C프로그래밍,전자(E4),E4,,,Null,교필,3,3,고철영,"(2:4),(4:3)",Null,,,,,,,
73,7070-1-0019-01,C프로그래밍,전통(E5),E5,,,Null,교필,3,3,Null,"(2:5),(4:6)",Null,,,,,,,
74,7070-1-0019-02,C프로그래밍,전통(E6),E6,,,Null,교필,3,3,Null,"(2:6),(4:5)",Null,,,,,,,
75,7420-1-0019-01,C프로그래밍,전융(E7),E7,,,Null,교필,3,3,Null,"(1:1),(3:2)",Null,,,,,,,
76,7420-1-0019-02,C프로그래밍,전융(E8),E8,,,Null,교필,3,3,Null,"(1:2),(3:1)",Null,,,,,,,
77,7320-1-0019-01,C프로그래밍,전기(J1),J1,,,Null,교필,3,3,Null,"(1:3),(3:4)",Null,,,,,,,
78,7320-1-0019-02,C프로그래밍,전기(J2),J2,,,Null,교필,3,3,서창옥,"(1:4),(3:3)",Null,,,,,,,
79,7340-1-0019-01,C프로그래밍,전재(J3),J3,,,Null,교필,3,3,남기현,"(1:5),(3:6)",Null,,,,,,,
80,7340-1-0019-02,C프로그래밍,전재(J4),J4,,,Null,교필,3,3,노현아,"(5:1),(5:2)",Null,,,,,,,
81,7460-1-0019-01,C프로그래밍,반도체(T1),T1,,,Null,교필,3,3,황치곤,"(1:6),(3:5)",Null,,,,,,,
82,7460-1-0019-02,C프로그래밍,반도체(T2),T2,,,Null,교필,3,3,이찬수,"(5:5),(5:6)",Null,,,,,,,
83,I020-1-0019-01,C프로그래밍,컴정(C1),C1,,,Null,교필,3,3,유지현,"(1:3),(3:4)",Null,,,,,,,
84,I020-1-0019-02,C프로그래밍,컴정(C2),C2,,,Null,교필,3,3,이우신,"(2:4),(4:3)",Null,,,,,,,
85,I020-1-0019-03,C프로그래밍,컴정(C3),C3,,,Null,교필,3,3,이우신,"(2:5),(4:6)",Null,,,,,,,
86,I030-1-0019-01,C프로그래밍,소프트(C4~C6),"C4,C5,C6",,,Null,교필,3,3,Null,"(1:4),(3:3)",Null,,,,,,,
87,I030-1-0019-02,C프로그래밍,소프트(C4~C6),"C4,C5,C6",,,Null,교필,3,3,김동훈,"(1:5),(3:6)",Null,,,,,,,
88,I030-1-0019-03,C프로그래밍,소프트(C4~C6),"C4,C5,C6",,,Null,교필,3,3,안우현,"(1:6),(3:5)",Null,,,,,,,
89,I050-1-0019-01,C프로그래밍,로봇(J5),J5,,,Null,교필,3,3,Null,"(1:2),(3:1)",Null,,,,,,,
90,I050-1-0019-02,C프로그래밍,로봇(J6),J6,,,Null,교필,3,3,서창옥,"(1:3),(3:4)",Null,,,,,,,
91,I050-1-0019-03,C프로그래밍,로봇(J7),J7,,,Null,교필,3,3,서창옥,"(1:6),(3:5)",Null,,,,,,,
92,I050-1-0019-04,C프로그래밍,로봇(J8),J8,,,Null,교필,3,3,Null,"(2:2),(4:1)",Null,,,,,,,
93,I040-1-8610-01,프로그래밍기초,정융(C7~C9),"C7,C8,C9",,,Null,교필,3,3,Null,"(2:3),(4:4)",Null,,,,,,,
94,I040-1-8610-02,프로그래밍기초,정융(C7~C9),"C7,C8,C9",,,Null,교필,3,3,김수환,"(2:5),(4:6)",Null,,,,,,,
95,I040-1-8610-03,프로그래밍기초,정융(C7~C9),"C7,C8,C9",,,Null,교필,3,3,Null,"(2:4),(4:3)",Null,,,,,,,
96,1000-1-4432-01,인공지능과컴퓨팅사고,건축(A1),A1,,,Null,교필,3,3,이롤랜드,"(2:5),(4:6)",영어100%,,,,,,,
97,1000-1-4432-02,인공지능과컴퓨팅사고,건공(A2),A2,,,Null,교필,3,3,Null,"(2:6),(4:5)",Null,,,,,,,
98,1000-1-4432-03,인공지능과컴퓨팅사고,화공(K1),K1,,,Null,교필,3,3,김선곤,"(5:3),(5:4)",Null,,,,,,,
99,1000-1-4432-04,인공지능과컴퓨팅사고,화공(K2),K2,,,Null,교필,3,3,박세영,"(5:3),(5:4)",Null,,,,,,,
100,1000-1-4432-05,인공지능과컴퓨팅사고,환경(K3),K3,,,Null,교필,3,3,박세영,"(5:5),(5:6)",Null,,,,,,,
101,6000-1-4432-01,인공지능과컴퓨팅사고,수학(N1),N1,,,Null,교필,3,3,정진범,"(1:3),(3:4)",Null,,,,,,,
102,6000-1-4432-02,인공지능과컴퓨팅사고,전물(N2),N2,,,Null,교필,3,3,Null,"(1:2),(3:1)",Null,,,,,,,
103,6000-1-4432-03,인공지능과컴퓨팅사고,"수학,전물,화학 (N1,N3,N5)","N1,N3,N5",,,Null,교필,3,3,정진범,"(1:1),(3:2)",Null,,,,,,,
104,6000-1-4432-04,인공지능과컴퓨팅사고,화학(N4),N4,,,Null,교필,3,3,정진범,"(1:4),(3:3)",Null,,,,,,,
105,6000-1-4432-05,인공지능과컴퓨팅사고,스포츠(P1),P1,,,Null,교필,3,3,최상근,"(1:5),(3:6)",Null,,,,,,,
106,3000-1-4432-01,인공지능과컴퓨팅사고,국문(R1),R1,,,Null,교필,3,3,윤대열,"(5:3),(5:4)",Null,,,,,,,
107,3000-1-4432-02,인공지능과컴퓨팅사고,영산(R2),R2,,,Null,교필,3,3,이롤랜드,"(2:2),(4:1)",영어100%,,,,,,,
108,3000-1-4432-03,인공지능과컴퓨팅사고,산심(R3),R3,,,Null,교필,3,3,정태원,"(2:3),(4:4)",Null,,,,,,,
109,3000-1-4432-04,인공지능과컴퓨팅사고,미디어(M1),M1,,,Null,교필,3,3,이롤랜드,"(2:4),(4:3)",영어100%,,,,,,,
110,3000-1-4432-05,인공지능과컴퓨팅사고,미디어(M2),M2,,,Null,교필,3,3,김덕은,"(5:1),(5:2)",Null,,,,,,,
111,3000-1-4432-06,인공지능과컴퓨팅사고,동문산(R4),R4,,,Null,교필,3,3,스레스터바누,"(2:6),(4:5)",Null,,,,,,,
112,3000-1-4432-07,인공지능과컴퓨팅사고,동문산(R5),R5,,,Null,교필,3,3,스레스터바누,"(2:5),(4:6)",Null,,,,,,,
113,F000-1-4432-01,인공지능과컴퓨팅사고,행정(S1),S1,,,Null,교필,3,3,염귀덕,"(5:5),(5:6)",Null,,,,,,,
